cod_un_negocio,cod_pedido,cod_material,cod_material_pai,apresentacao_combo,dt_venda,dt_hora_venda,cod_ciclo,des_ciclo,marca_ind,categoria_final_nivel1,uf,regiao,des_cidade,vlr_receita_bruta_omni,vlr_receita_faturada,vlr_venda_pago,vlr_venda_desconto,status_oms,flg_faturada,flg_aprovada,des_canal_venda_final,fonte_de_trafego_nivel_1,des_midia_canal,des_cupom,flg_pedidos_cd,flg_pedidos_pickup,cpf_hash,cpf_consumidor_full
UN-6,PED-6590980537559052301,SKU-1566014371661189894,PAI-1566014371661189894,INDIVIDUAL,2022-11-27,2022-11-27T10:16:04,202216,REGULAR,MARCA-14,CAT-13,SP,SUDESTE,São Paulo,0,56.09,56.09,37.44,1. Faturado,1,1,App,3. CRM,salesforce,CUPOM-313,1,,06f2bd47c2f2b72765f791cb47003576,17559052301
UN-6,PED-7136974303457308893,SKU-3953233442857583751,PAI-3953233442857583751,INDIVIDUAL,2022-11-21,2022-11-21T21:27:05,202216,REGULAR,MARCA-9,CAT-16,SP,SUDESTE,Itupeva,0,0,0,18.65,1. Faturado,1,1,App,2. Não Pagos,(direct),CUPOM-161,1,,015eab6a1a1f44e877082a3a41d3a086,53457308893
UN-6,PED-6573306922272483750,SKU-4112122178164871799,PAI-4112122178164871799,individual,2022-07-03,2022-07-03T21:28:41,202209,REGULAR,MARCA-13,CAT-22,SP,SUDESTE,Bastos,,35.99,35.99,19.38,1. Faturado,1,1,App,1. Pagos,facebook,CUPOM-102,,1,3fbc338463eb7dc241869e7f3e695bd5,62272483750
UN-6,PED-4990071002658077203,SKU-6279517004997497262,PAI-6279517004997497262,INDIVIDUAL,2022-07-25,2022-07-25T14:11:07,202211,PAIS,MARCA-20,CAT-16,RS,SUL,Tapera,0,0,0,35.93,1. Faturado,1,1,App,3. CRM,Firebase,CUPOM-34,1,,11f5cd4f80efd35b3189bd7e62d257b3,42658077203
UN-6,PED-9130917202380020996,SKU-8428058266109146486,PAI-8428058266109146486,individual,2022-05-30,2022-05-30T06:41:51,202208,NAMORADOS,MARCA-31,CAT-13,RS,SUL,Esteio,0,93.53,93.53,0,1. Faturado,1,1,App,3. CRM,Firebase,CUPOM-313,1,,04b885f2b674cf1b0c1c694c10fbadde,62380020996
UN-6,PED-8786095577047738785,SKU-5283746827232769848,PAI-441815195903456944,combo,2022-01-11,2022-01-11T20:43:08,202201,REGULAR,MARCA-30,CAT-9,MG,SUDESTE,Belo Horizonte,0,14.33,14.33,10.7,1. Faturado,1,1,App,2. Não Pagos,google-play,CUPOM-313,1,,90f8c3833b697c1564a92f3389b1f620,27047738785
UN-6,PED-3388060571618862397,SKU-722709922990589458,PAI-5600697066838302264,combo,2022-05-05,2022-05-05T22:24:39,202206,MAES,MARCA-9,CAT-7,SP,SUDESTE,Santa Rosa de Viterbo,0,,48.89,0,4. Cancelado,0,0,Site,1. Pagos,google,CUPOM-313,1,,2bc0f015d07dd8f6593dbd7a37ea269f,51618862397
UN-6,PED-1378474536672540093,SKU-6034737892355746428,PAI-6034737892355746428,INDIVIDUAL,2022-06-15,2022-06-15T20:12:27,202209,REGULAR,MARCA-9,CAT-16,GO,CENTRO OESTE,Anápolis,0,0,0,1.19,1. Faturado,1,1,App,2. Não Pagos,google-play,CUPOM-97,1,,8b063a81b09efca54822f0b813188913,76672540093
UN-6,PED-7821169383100246144,SKU-8806779060621111989,PAI-8806779060621111989,INDIVIDUAL,2022-06-17,2022-06-17T16:14:00,202209,REGULAR,MARCA-7,CAT-13,GO,CENTRO OESTE,Goiânia,,88.15,88.15,37.78,1. Faturado,1,1,App,2. Não Pagos,(direct),CUPOM-272,,1,ff1186a627fbf42a80512ddae040938d,13100246144
UN-6,PED-1959672445229665709,SKU-1756106859053800234,PAI-1756106859053800234,INDIVIDUAL,2022-03-21,2022-03-21T23:22:31,202204,REGULAR,MARCA-9,CAT-15,PR,SUL,Maringá,0,53.93,53.93,0,1. Faturado,1,1,App,2. Não Pagos,(direct),CUPOM-313,1,,9bc79949b64df2cf9fb6e17a51dad718,35229665709
